occurrenceID;vernacularName;scientificName;year;references;establishmentMeans
Aal-1993;Aal;Anguilla anguilla (Linnaeus, 1758);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Aal.pdf;native
Aland-1993;Aland;Leuciscus idus (Linnaeus, 1758);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Aland.pdf;native
Barsch-1993;Barsch;Perca fluviatilis Linnaeus, 1758;1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Barsch.pdf;native
Bitterling-1993;Bitterling;Rhodeus amarus (Bloch, 1782);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Bitterling.pdf;native
Blei-1993;Blei;Abramis brama (Linnaeus, 1758);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Blei.pdf;native
Döbel-1993;Döbel;Leuciscus cephalus (Linnaeus, 1758);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Doebel.pdf;native
Dreistachliger Stichling-1993;Dreistachliger Stichling;Gasterosteus aculeatus Linnaeus, 1758;1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Dreistachliger_Stichling.pdf;native
Giebel-1993;Giebel;Carassius gibelio (Bloch, 1782);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Giebel.pdf;native
Goldfisch-1993;Goldfisch;Carassius auratus (Linnaeus, 1758);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Neozoa.pdf;introduced
Graskarpfen-1993;Graskarpfen;Ctenopharyngodon idella (Valenciennes, 1844);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Neozoa.pdf;introduced
Gründling-1993;Gründling;Gobio gobio (Linnaeus, 1758);1993;http://www.stadtentwicklung.berlin.de/umwelt/fischerei/fischereiamt/download/Broschuere_Fische_B/Gruendling.pdf;native
